و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
آفریده	می‌دانم ملکوت تعلق سرانجامی گسترده قرارگاهی اوست ندانسته‌اند ننگریسته‌اند آسمان‌های ندیده‌اند قلم ندیده‌ای یگانه نمی‌ماند
نشانه‌های	آیات بادیه‌نشینان ماده‌شتر ندیده‌ای فرقان کلمات دروغ ی حقیقت روشنی بیم کافرند سویشان بدانند آنانکه
دریا	خشکی تاریکی‌های بخواهیم هفت بنگر رام روانند کوه همه کشتی‌ها کوه‌های کشتی افکندیم بلند باران
کاری	شفاعت فرزندش زیانی پذیرفته سخنی نماز اختیاری می‌دیدند وامی‌دارد تمام نمی‌رود خوش ملکوت بدون یاوری
اختیار	تقرب معبودانی فرزندی سودی پاکیزه سود یاوری دوستانی حلال سرگرمی شایسته کیفری هزینه بیراهه آنید
آمرزش	طلب درجات آمرزشی جوار پاداشی بخواهی بی‌منت بزداید نمی‌خواهند یادآوری بمیرید اجری می‌بخشد شایسته‌ای پیشه
نسبت	همچنانکه خویشاوندان بخشایشگر می‌پذیرد مگوی زنا دهم توکل بچشانیم مهاجران مال پاکدل مادرم بخواهید شتابزده
رستاخیز	شکی آمدنی هولناک می‌برند دانی برانگیخته فریاد سزاوار انتظار وقوع نزدیک گردآوری قیامت مغرب درنگ
هلاک	نسل‌ها نابود شهری سزای پیامبرانی فرستادگانی سنگ‌هایی روانه گسیل رنج فرستاده‌ایم مقدر هلاکشان زیر گمراه
مثل	بشر زناکار هود همچون زده_است نگیرد مردمان سخنی رگباری آورده‌اید می‌گفتند الها گلی پندی برمی‌انگیزد
درختان	جویبارها نهرها خرما جوی‌ها انگور باغ‌هایی زیر رودها سایه‌ها زبر روان کشتزارها خوشه بهشت‌های داربست
دهید	ده ایستند می‌دهید دهم ندارید دهد می‌دهم گیرید مگیرید دهند اظهار برخیزید می‌خواهید نمی‌دارد بدارید
دشمن	دسته‌های همگی مکنید هنگامی جان مگیرید مپرستید پیمان دوستان بعضی‌شان شیطان آیید بعضی شکست‌ناپذیر خودتان
شماست	گر دشمنی کردار شمایم بپرستید آوریم می‌آوردند می‌خواهید پیشین آورده‌اید فرستاده‌ای حکایت می‌پرستید خودتان شکوهمند
پی	ناپاک آفریده انکار آهنگ سال آفرینش رد رنگ‌های می‌برد می‌آمدند سرکشی فرمودیم جای دنبال نخوت
دور	درازی چشیدند حدس آرزوهای گریزی هولناک دوزخ دچار سست رستاخیز بیعت ولی می‌بینند سرکشان یافتی
پیامبران	فرستادگان پیامبرانی قوم فرعون برادرشان سوگندهای دفاع لوط گسیل ریاست شعیب میانه‌رو رسولانی نفرستادیم اصحاب
مقرر	حکم نازل انجیل بیاید حرام رحم واجب کارزار عهد آید عذابشان هدایت برده سه اعتماد
مردان	زنان زنانی پلید ازدواج مالک آزاد پاکدامن پرهیزگار مشرک بینوایان همسران طلاق شنیدید همخوابگی بازدارنده‌ای
می‌دهیم	دادیم گذاشتیم پاداش وعده خواهد_رسید شده‌اند داده_است دادند فرجامی نمی‌دهند محصولات نیکوست کی امثال نخواهند_گرفت
فقط	غیب ندارم مغرب نیفزود رفته_است معبود حکایت هشدار پیام ابلاغی بگو پیرو بازپس مشرق پیام‌های
چند	سالی بزهکاران خویشاوند هدایت درک ایمان‌آورنده فروختند هر اسلام خوانید چشنده بیراه خشکی بدی ناچیزی
پدر	مادر دزدی آورده_بود احسان یوسف مادرش مؤمنی یتیمان سفارش مستمندان پدرش هارون می‌داد مادرم قارون
پیامبری	نیامد فرستاده‌ای هشداردهنده‌ای هشداردهنده پیامبرانی دلایل بشارتگر شهری نفرستادیم فرستادگانی پندی گسیل بیم‌دهنده بنده‌ای مادرش
رسید	مدین انداخت دررسید پیراهن چون آسیبی شعیب یعقوب داده_شد فرستادیم‌ دیدند رسیدند شتابان آیند افکندند
کیفر	سزای جزا پاداش عقوبت بدتر می‌کردید دستاورد خواهد_رسید می‌گرفتند مرتکب خواری نشان کوشش رساند سود
حتماً	قطعاً نخواهد_شد ورزی شنیدیم مسلم‌ها خواهید_شد هرآینه می‌گردیم خواهند_گفت وعده‌گاه برتافت بگوید اگر می‌خواستیم نکردید
رحمان	خدای بندد آن‌هایی صفات بخشنده خدایانی سنجیده‌کار دل‌ها سخنان حکیم دروغی کیست می‌ترسم گشاده رحمتگر
جهانیان	رحمتی خاور جهانیانم پادشاهی یگانه استادت منم معبودی شمایم پروردگار نفرستادیم نیستیم باختر جمعی وجود
استوار	کوه‌های نهادیم دانه قدرت خیر سوار دلت واحد ریز عبرت می‌گردانیم طبقه مسلط کوه‌هایی نطفه‌ای
خودشان	هشداردهنده‌ای فرستادگانی برانگیخت حقایق سویشان بیم‌دهنده ساخت خبرهای نفرستادیم مردم می‌کردیم گروه پندار زیان می‌کنیم
واقعاً	می‌دانیم بی‌تردید ترسایان حواریون دانی پیکار حقا می‌خواهیم می‌دانی دیوانه ساحری منزهی گمراه گم کیفرش
ماه	خورشید هزار سزد آفتاب هفت قربانیهای رام ستارگان هشت حرام دوازده برآمدن شبانگاه نعمت‌های روزه
جهاد	جانتان هجرت بگروید جانشان مهاجران طلب ازدواج انفاق مخالفت اظهار درگاه فتنه کج می‌شناسد ورزیده‌اند
عطا	بیاموزد کرم تورات حکمت انجیل دارای داوود داده رحمتی جوار می‌بخشد وحی بچشانیم بخشید چیره
پر	درد دردناک خواهند_داشت ناز بوده_است عذابی باغ‌های خواهد_بود ماندگار ناسپاس آماده یاورانی عذابشان خفت‌آور شایسته‌ای
بودیم	خواهیم_بود ستمگر هستیم نبودیم نزدیکترین نبوده‌ایم نکرده_است عربی خواهیم_کرد نصرانی طایفه نیاوردند انس سپاسگزاران بسیار
باشید	برگردید کتابند نخواهد_کرد نگویید آیین یابید کافریم نکردید نخواهد_رسید یافتید مردان داشته‌اند خواهند_بود بودیم شماست
سود	نمی‌بخشد سودی زیانی دوستانی نمی‌رسانند می‌رساند شفاعت بخشد ندارد شریکی سودش اختیار ندارید معبودانی زیان
خودتان	بپرستید خواهستم می‌خواهد قضای سحر مگیرید ازدواج نمی‌خوانند مرگ فرستاده‌ای زده_است می‌خواهید گوارا شمایم سرکش
دوزخ	درافتاده جهنم سقر جایگاهشان زانو خواهند_ماند سرکشان جاودان افتاده‌اند وه چهره‌هایشان درمی‌آیند سرانجامی افکنده داشته_است
گردد	خواهد_شد آفتاب سازد دررسد شود می‌داریم آتشند ساختیم گرداند روزه بارانی چهره‌هایی دیدگانشان می‌گرداند نگاه
آگاه	بیناست داناست شکست‌ناپذیر می‌باشد دانای سنجیده‌کار غافل حکیم گشایشگر درمی‌گذرد می‌پذیرد بازخواست بندد کفایت راز
ی	هشدارها باغی گرفته‌اند پدید نشانه‌های برگشتید باشند مخالف همچون بخواهند ثمود دروغ ندارند پرداختند باده
هستند	می‌جنگند تعلق ابطال جماعتی برانگیخت می‌خواهند مقابل گاه طایفه غافلند آراسته دانشمندان کسانند رستگارانند جنبندگان
سجده	درافتادند فرمانم شامگاهان آفریده‌ای ستایش بامداد قیام می‌خوانند نشسته پشت حالت عبادت می‌گردد سپاهیان مرگ
نیکی	بدی درگذرد نیکویی شوهر مادرت تجاوز وصیت پیشه احسان خواهان پرهیزگاری خرج پاداش کنید بخل
گرفت	آذرخش بلعید گرفتیم مرگبار خانه‌هایشان فرو تصمیم بامدادان بندند دادیم شکستند درآمدند ریختیم بارهای شود
درست	راست بیاورید می‌گویید صدای مهاجرت اندازه‌گیری کاملاً دشواری عربی عبرت قصد هدایت آیین می‌دانند نمایید
وای	کاش یهودیان الها خویشتن چیست ستمکارتر آرزو بپرسی ای حسب می‌ورزیدند دروغی سران سزاوار نمی‌دانند
بدی	نیکی توبه گمراه‌تر تقوا ستمگرتر جزای نیک میسر مؤمنی داستان وصیت جاودانه چند فردا وصف
خوش	خوبی بخواهند راز نفرستاده‌ایم فرجامی ناخوش سازند باش ماندگار منزه وصف یادآوری سرای احاطه بی‌منت
تمام	شیر پیمانه ستانند بدهد اسماعیل پیاپی نافرمانی سزد باد عنوان وسوسه کمال کاری عطا مؤاخذه
مشرکان	یهود دشمنی هدایتشان دانشی برتاب زنهار اهل علمی سوره‌ای بگویند مقام برتافت کتابند یهودی علم
می‌گوید	شبانه موجود گفت کجایند می‌گویند فرمود خواهند_گفت ستایش همنشین گفتی می‌گیرند بندگانم نامه کیست خواند
پاک	فرمانروای سخنی یکسره مهربان جنبنده‌ای دلی پدیدآورنده توکل گهواره‌ای سرا مقام خدای خاکی سرعت بلندمرتبه
نعمت‌های	منکرید کدام پاکیزه‌ای پروردگارتان مرگبار صور الف چیزهای فریاد فرق پیشه ماه یک بخورید پاکیزه
بدانید	بترسید دشمنان بیمناکم مؤمنید نمی‌توانید شدید بگردانید می‌گردیم نکردید آشتی ببرید نکنی مهربان خداست آسان
مکنید	نمایند می‌کردند مؤمنید پنهان زیاده‌روی نداری خدایند صبر نمی‌کنید نورزید اندکی نمی‌توانی نمی‌کنند اصلاح می‌نمایند
چیز	دانی پیکار می‌دانی تردیدی ابلیس نگهبان راضی دار سجده‌کنندگان بسا چیست می‌دانیم انسان چه شیوه
آبی	ریزان کوه‌هایی خاکی آسمان بادها می‌فرستد برافراشت سپاهیانی می‌نوشید بشکافد بنایی زهم باران ابر تشنه
بدهید	رسول دستهایتان بکشید پا پرهیزگاری بربرید نکرده‌اند بخشش هموزن مردی بخوانید سفارش می‌خواستیم گونه جستجو
گناه	تعدی اصلاح شتاب عمل پنهان مرتکب رسانید چشیدند شده می‌داریم ساختند زیان همدیگر زنا وصیت
پاداشی	بی‌منت سرای خواهند_دانست والا آمرزش نیکوتر بخواهی می‌ترسند پاداشش سرمشقی مهربان طلب پاداششان سخت‌کیفر زودشمار
معین	مدتی روانند برسید آب مسخر می‌فرستد موعد بهره‌مند ریزان رام ابر سپاهیانی آورند تاریکی مرگبار
بس	شایسته‌تر وکیل پاداشی حمایتگری مثل‌ها نفرستاده‌ایم منم هستی مسیح نگهبان عهدی والا کافی حکیم ساحری
یوسف	درافتادند پدرش می تخت همسرت ملکه پدر آقای برادرش پیراهن جوان ایوب فرعون دید ساحران
می‌دارند	می‌دارید زکات داشتند مشغول ناپسند می‌داشتند کارهای می‌دارد نمی‌دهند نمی‌دارد دروغگویند روزیشان پنهان می‌بینند وامی‌دارند
فضل	کرم جوار بجویید اجابت بخششی خویش کسب خشنودی کشت سوگندهای بخواند جانب باغ‌هایی نیکویی بخل
اموال	یتیمان خویشتن گفتی گرویده زیور استثنای رب‌ها می‌پذیرد میل پیامبرانش داده هجرت اولادشان زر خویشاوندان
معبودی	یگانه دوستانی معبود حکیم یاوری خدایی خدایانی بشر سرور بپرستند پندی بازدارنده‌ای تسلطی وظیفه‌ای‌ نام‌های
مال	جان راه جانشان نمی‌خواهم جانتان کراهت صبر وجود پدر ناروا نمی‌دارد مخورید دختران فراوانی مادر
پند	عبرت می‌ترسد نمی‌دانید اندرز عذری بچشانیم هست انجام اختیاری شیاطین بدارد عبرتی نمی‌بخشد رسیده_است صدمه‌ای
نیکو	پاکیزه بی‌منت آوازه شایسته‌ای نیکویی درختان سهمی حالشان بی‌حساب سبز کشتزارها زودشمار زاده پاکشان نیکوست
کتابی	قرآنی عربی دلیلی آیاتی مؤید می‌خوانیم صحیفه‌های تصدیق‌کننده اندرزی کتاب‌های فرشته‌ای قرآن موجب حقیقتی رهنمود
داده‌ایم	جد جهد گردانیده‌ایم نهفته داده روزیشان دادیم ترازو پنهان دادم داده_می‌شوند درجاتی برپا بدیشان پیامبران
همین	چنین هلاک کارزار کسانند لعنت حواریون چنان خاکستر نابود درازی امثال عربی بوده لعنتشان تکلیف
آماده	خواهند_داشت بسیج خفت‌آور یاورانی خدمت درد سوزان شایسته جویبارها جایگاه‌های درختان پر فروزان بنا درآوریم
نیک	آوازه آیندگان فرجامی پی می‌داند ماییم گذاشته‌اند سرانجامی شتاب سهمی خوبی آنید می‌دانیم زشت بدی
اینان	شریکانی زیردست کسانند عجب ریاست بیماری پیامبرشان بدیشان مهمانان بوده‌اند بنگرند کسانی‌اند نیرومندتر دروغ ایکه
هنگام	شش نعمت‌های سوم بدارید اختلاف نماز براییتان شکافت هراس روزه برآمدن سه می‌آوری موعود روزهای
زن	زناکار همسری جنگیدن مؤمنی مرد پیراهن خانه‌های آقای نگیرد عوض شوهر وصیت طلاق تاریکی‌ها چاک
یکی	قضای رفیق دختر دو احد ناگاه پیراهن سمت بهترند اشاره امین زناکار ناپاک اطلاع نکاح
حکیم	سنجیده‌کار گشایشگر شکست‌ناپذیر توانای بخشایشگر مهربان دانای صفات بردبار حکیمی داناست رحمتگر بیناست استادت آمرزنده
راهی	راه بی‌راه تن بیندیشید نماید ببر روند گمراهی کنیم کدامند حمایت دشمنی نور صواب توست
گردانیدیم	عبرتی بخشیدیم بود درآوردیم می‌آوری دیگران کردیم دادیم ساختیم گذاشتیم عهده گردانیم نسل تردیدی کشتی
اسرائیل	فرزندان هارون آدم امت‌هایی برگرفت ثمود مقام فرقان سران سپاهیانش پیشوایانی پیامبرانشان بپرس فرستاده‌ایم هود
می‌کردید	سبب گردنکشی می‌نویسند کردند کردید اختلاف رخ نمی‌کنید وعده‌گاه می‌آورد بچشید خواهند_شد می‌کردند شنیدیم می‌دارند
طور	کامل ناگهانی گویید شکی آرامش داده_می‌شود فراز گاه می‌رسد یکدیگر مشاهده گوسفندان کوه فرو درآمدند
مسلم‌ها	قطعاً نکنی بپرسی می‌رانیم حتی هرآینه می‌داند زیانکاران خواهند_گفت حتماً دنیاست خوبی سرا خواهی_بود گردنکشی
انکار	خواهد_رسید هدایت باور فساد لقای کسانی‌اند شرک ورزیدند آوردن پرداخته‌اند شمردند ستیزه ریشخند اطمینان انگاشتند
گوش	گواهی مژده دل‌ها خوش برخی میانه‌رو می‌خوانیم مانع راز بیگزارم شهادت پناه مکن برتری درداد
کنیم	برد یافته‌ایم یافتیم می‌کنیم کرده_باشد خواهیم_کرد می‌کرد کرده_است می‌کنی شنیدیم وا می‌شد کند درآیید سازد
باش	بی‌درنگ موجود مراقب گوی درمی‌دهد وکیل می‌گویی راز تسبیح جد بامدادان گفتیم نمی‌گذاریم چپ ویژه
برپا	نماز پا زکات رکوع پنهان داشته‌اند روزیشان ناپسند داشتن فرمانم داشته کارهای صبر شکیبایی می‌خوانند
نیرنگ	نزدشان اندکی گردنکشی نزاع عده‌ای کشیدن ستم تکذیب می‌دهند عصیان فرعون نبودی می‌زنند خیانت عقوبت
منکرید	نعمت‌های پروردگارتان کدام فرمانم بازگردانیده ستمکارتر پاکیزه سرانجامی گسترده درختان کارهای میم دانی پروا دردناک
باطل	سوره‌ای مجادله نیافریده‌ایم می‌آورند هنوز سرش بهره ثابت ورزیدند فرستاده‌اش نیروی شنبه کارهایشان برایشان یهودیان
مریم	پسر مسیح ماجرای نامش تخت عیسی پسرک آدم بازگشتند سران سلیمان صالح زکریا پدرش مادرش
آورید	آرید راستان خوانده_می‌شود برد بخواهید گفتگوی آورده_است آمده_است نیاوردند بدارید می‌آورید خانواده آورده‌اید رکوع کسان
سبب	آرزو نکردند سزای پاره نهی می‌کردید تعبیر دستاورد می‌گرفتند بدان ایمانشان آنچه مرتکب شده‌ام مهر
شنوای	گشایشگر بیناست داناست بردبار شکست‌ناپذیر حکیم سنجیده‌کار توانای بخشایشگر آمرزنده آفریننده رحمتگر صفات مهربان بلندمرتبه
دل	می‌برد گمان آسمان‌ها می‌گردانند کوشش آفرینش کج سرکشی بیازماییم دلش می‌دارید خواستار کسانند خوشی گوش
نهان	می‌داند می‌دارید دل‌ها برتر دانای پنهان شکوهمند شش بگرداند روزی روزیشان فرمانروایی راز رحمتگر وصف
فرجام	بنگرید نگردیده‌اند بگردید سرا بازگشت فرجامی تقرب آفرینش کارها کارهای خلقت سرانجامی رساند قرارگاهی خلق
شریک	کجایند می‌پنداشتید فرزند ملحق کارم مگوی نمی‌دهد می‌گردانند بیگزارم نداری گردانیده‌اید بیناست یکدیگرند ریشخند پسندیده
بی‌گمان	هود می‌دانستند قطعاً یهودی آرامش فرستادیم‌ بازگردید دانش ماجرای اسرائیل می‌اندیشند حقیقت پروردگارا بازگشتی رحمتی
می‌آورد	می‌آوری آورد گردآوری قدم بازمی‌گرداند می‌آوریم تردیدی می‌دارد داشت میوه‌ها کدامین می‌برد ابر روید موعد
کوه‌ها	رودها لنگر فرمانش حرکت بگردید بنگرید شکافت کوه‌های درختان برآمدن نیکو انگور کنده میوه‌های فراز
برتری	می‌کردند جهان خدایانی آیندگان قرار امکانات برخی چیزهای ریاست ستمی آوازه واقعی درجاتی روزیشان بشارت
پناه	می‌برم کام رحمان درآی برادرم خدای گرفته_است نمی‌شود ببخشای مباشید دعای می‌خوانم منم همپای نمی‌گویم
سرزمین	طرفی مصر ماده‌شتر جانشین اسرائیل مرگش شهری عقوبت عصای داشتیم فرعون نسل‌ها نمانده_بود امن امان
آسمانی	کتاب تورات روزیشان فرقان کتاب‌های قبل نبوت می‌خواندند نصیبی خوانده_می‌شود فرستادن تصدیق‌کننده نگویید حکمت انجیل
زیان	بیراهه ورزد خویشتن سود گوید رفته_است سرگرمی می‌دانستند دچار معبودانی دوستانی نمی‌بخشد گمراه اموال تصور
بیشتر	نمی‌دانند خویشتن اموال هشدارها لیکن مثل‌ها بدکار نافرمان نمی‌افزاید چند نیافتیم مدتی وقتی نمی‌بینید گروندگان
صبر	پرهیزگاری توکل راستان پیدا نیاورند پیشه آورده همپای طلب انفاق مکنید سپاسگزاری مال داشته‌اند برپا
بناگاه	گریبان مرگبار نمایان می‌رسید دسته‌ای گرفتیم برخوردار انتقام ناگهان نومید کشید برخی برداشتد بگذار دستش
امروز	خواهند_یافت بمانید سزاوار گر نهی کاش دشمن ستمی دور می‌میرد بازدارنده‌ای هفتاد برایش می‌طلبند کیفرش
قومش	قارون درداد رفت سران رسولانی آیید قوم گفت یافته‌ایم برادرشان ملکه ماده‌شتر دعا آگاهی عیسی
لوط	شعیب فرستادیم‌ برادرشان اصحاب ایکه نوح قوم خانواده صالح ثمود ساحران آمدند خاندان یونس فرستادگان
نام	بامدادان کتاب می‌داند چیزهای همسرانی ندانسته‌ای حیث درجاتی ساختند الحرام بخورید استثنای گفتیم صدای محرمانه
آمده	حقایق رهنمود حاصل آورده_بودند نازل رسولان حکایت گردیده گرویده‌اند آمده_است صحیفه‌های پروردگارتان انحراف می‌آیند می‌کنیم
دردناک	عذابی خفت‌آور درد سهمگین خواهند_داشت شکنجه پر کاسته بیماری یاورانی رسد می‌چشانیم ناسپاس کی پلیدی
نیستند	نیافریده‌ایم پلید یکسان بیشترشان ترسایان نمی‌افزاید مردان میزان هستید ندارند داستان باشند ایمان‌آورنده نمی‌دانند سرگرمی
ریشخند	مسخره تکذیب ستیزه بهای آرزو پاسخ شریک بنگرند ندارم خواهد_رسید انکار ناچیزی نمی‌دهد جلوه بازی
گمراهی	رنج درازی آشکاری خواهند_دید شکی دچار کافی معجزات سزای بد حسابرس هلاکت بندد سرکشی جدید
کرده‌ایم	کردیم پندآموزی تدریج بخوانی شده_است رهنمود می‌کردیم حقیقتی مدتی تازه ببینید چنگ می‌شود می‌رهاند رسولان
پرهیزگاران	فرجامی تقرب اندرزی شنوا رهنمود تواناییم خردمندان تذکاری برایشان حق سرانجامی داده‌ایم درمی‌آوریم ناسپاس داده
گرداند	کند می‌دارد ثابت بگرداند خودش می‌گرداند قرارگاهی تعلق وسوسه می‌رهاند سینه‌های می‌کند خواهد_، آزمایشی بخواهد
شرک	باور کفر دوستان اصرار یهودیان انکار مبادرت گرویده‌اند ورزیدند می‌خواست پیامبرانش بخل می‌ورزند طایفه‌ای منکر
کنی	می‌کنی نمی‌کنم همپای کن نمی‌توانی کرده_باشد نخواهد_کرد کنند می‌نمایند طلب خواهم_کرد مکن می‌افکنیم کرده‌ای تدبیر
البته	آینده اجر بدیهایشان کرده‌ای آمده‌اند شنبه نمی‌آورند مبر نباید یاران خویشاوندان آشتی دشمنی سختی پرهیزگاری
گواه	هشداردهنده‌ای هشداردهنده امت بودن فرستاده‌ای امتی نیستم تسلیم اعتماد ببخشاید آمده_است حسابرس پیامبری مهربان بشارتگر
گناهی	عمره بیمار مردان سوم دوش می‌خواهد می‌بخشاید بازدارنده‌ای ازدواج تهمت تعدی خانه‌های وصیت زشتی دروغی
دوستی	رستگار بازدارنده‌ای خشم شریکی مگیرید روا بگیرند خیری اختصاص ستدی گواهی ازدواج بینوا زیان سود
کاش	چندان سران منزهی پسرک بپرستید بیدادگران ای بازگشتی بچشید اینانند یکدیگرند فرستادیم‌ دعوت‌کننده می‌دانستند دختر
گواهی	گوش می‌دانیم ترسایان رهایی گواهان برتری پا می‌دهند فرا نبودی شهادت می‌خوانید انکار دوستی پیروزی
مؤمن	نیکوکار مشرک زنان ایمان‌آورنده همسران نصرانی مردان شاهد مسلمان شنیدید عزیز ذره‌ای کافرند نگیرد یهود
همانان	داده قبل کسانند کردید جانشان هنگامی ببینی مباشید هستید بادیه‌نشینان کسانی‌اند ورزیدند صف نمی‌دیدید همدم
مایه	رهنمود تذکری رحمتی عبرتی جهانیان خردمندان توضیح خواهند_بود نومیدند پرده‌ای روشنی پیشوایانی جوار گیرند باشد
آتشی	سوزان دیدم فروزان جوان درآوریم نبرد خفت‌آور خبری دردناک سرکشان دوزخ بچشید منافقان بمانید جاودان
نمی‌کند	وجه نمی‌کنند نکرد می‌گذارد ستمگران نمی‌رسانند زندگان نیافته_بودند زیانی فاسقان خواهد_کرد می‌کنیم زشتکاریها مؤاخذه نکرده
نجات	قرار تسلطی خواهیم_داد رهانیدیم خواستیم نداده_است نهرها رسوایی دانش آشکاری میانه هارون زشت کردارش نبودی
شهر	پرهیزگار دوان افتاد شهری مدین باغ دیدند جمعی باختر بخواهیم گنجی شهرهای امن دسته‌ای میانسالی
پسر	دختر مسیح مریم سهم عمران مادرش نامش پیامبرانشان مادر پدرش سبا ماجرای عیسی یوسف ملکه
گویی	افتاده می‌رود مرگبار نشسته شبی پاهایشان ابر تدریج طبقه موجی خوشه دانه‌های بکشد ایستاده پهلو
بسیاری	روزگار درمی‌گذرد پیوست چشانید رهنمود دانسته دانشمندان نعمت‌های بپرهیزید دسته‌ای برخی هلاکشان مکر دینشان گروهی
است‌	بی‌خبر شده می‌آوریم گناهان برگزیده اعتماد زنانی آمرزش مردان رسالت بیناست آگاه غیب برده آزاد
حلال	چیزهای پاکیزه دامهایتان حرام می‌پرسند همسرانی گردیده آراسته فرض پاکیزه‌ای رسالت استفاده عطا آیندگان واجب
شتاب	می‌دانیم نیک گفتگو نبوده_است گناه می‌ورزند بیرون برمی‌گردانند فردا شتابزده پندگیرنده‌ای خیال نزاع محاجه می‌خواهند
ندارد	ندارم سود ندارید ندارند بکشد فرار یگانه برده پنداشته‌اید جنونی نمی‌دارند کیست آخر نکرد زودگذر
اطاعت	پیامبر خودمان زیاده‌روی گرویدیم رکوع دستهایتان دشوار رستگار فرمانم اظهار پروا درمانده مخالفت ورزید پیروی
داخل	سوار کشتی‌ها درآی عرضه رستگار زبر درستکارند راند پنداشتید سوراخ جستجو خارج امن درختان دختران
گرد	فرود گردآوری بیرون بازپسین مؤمنان معلوم وقت فرشتگان شماره فرمانم نمی‌دانستید قدم هستیم پدید حسرت
مرتکب	می‌شدند یهودی ایمن زشتکاری نهی رویگردان زشت پاس مبادرت تعدی جرم مکر بازگردانیده جزای وامی‌دارند
عمل	حسب اصلاح بیراهه بیناست درجاتی گناهانتان امکانات گناه توکل گناهان دوش گونه پرهیزگاری ندانسته پنهان
می‌بینی	برمی‌تابند زانو قبلاً پاهایشان می‌پوشاند بشنوند قبل درافتاده تاریکی کر می‌افتند نشسته موجی گذاشتیم پیرامون
پا	برپا ارزانی میانه شوهر خانه‌هایشان موقع یاد سوم نزدیک روح آرام حساب حد سنجش می‌آوری
آنانند	زیانکارانند ورزیده انگاشتند پیشه اجر پیوست می‌ورزند شکیبایی زیردست پرهیزگاری لقای نخواهند_کرد بهشت‌های غافلند گرویده
خویشتن	ببخشای نهند اموال بیشتر لیکن زیان گر نیرویی مادر طغیان استثنای نمی‌فهمند مورد نمی‌دانند رفته_است
باغ‌هایی	درختان جویبارها نهرها زیر جوی‌ها بی‌منت عدن داربست خرما کشتزارها بهشت‌های انگور زبر سایه‌ها همیشگی
آفرینش	خلقت آغاز آسمان‌ها پرداخت شش خلق پدیدآورنده فرجام کیست ملکوت قدرت ندانسته‌اند نطفه‌ای شدیم زمین
این‌ها	افسانه‌های بیهوده واقعی می‌گویید بلایی پروردگارا منزهی مگوی می‌گفتند عده‌ای ببخش اینان نمی‌دانم : سزاوار
گفتیم	فرمودیم آدم عصایت مدار بیفکن صالح دیدگانشان مترس چراگاه فرستادیم‌ همسرت فرمود بینداز نعمت‌ها باش
بودید	وعده‌گاه رهانید خواهید_شد امت‌هایی کبر احد داشتند خوانید می‌دهید نداشت گریبان همراه همسرانتان بده روند
عیسی	ماجرای یحیی اشاره اسباط اسماعیل ایوب درداد عمران سفارش مریم هامان سهم یونس قارون الیاس
کیست	ستمکارتر گمراه‌تر پدیدآورنده ستمگرتر ملکوت عرش ندانسته‌اند کس می‌برم آفرینش اوست بکشد فرمانروایی خدای ندانستی
امتی	فرمانبردار امت واحد خویشاوندی جفت گواه جنی پیامبری فرستاده‌ای رنگ‌های آیتی پیامبران عادل برانگیختیم پیشوایانی
باد	گواراتان فرق نگردد تمام رسد می‌کرده‌اند صدمه‌ای داده_بودیم نیک باش وامی‌دارد می‌رسانند فاصله عطا بپرسی
پدران	خدایانمان پیشین قبلاً می‌گویید گواهان آیین خودمان گر پیرو صحیفه‌های کنیم پرستندگان پسران یافته‌ایم باشیم
دهند	می‌دادند ضد داده‌اند وصیتی نداشتیم می‌دهد می‌دهید داده_است دهیم تغییر می‌دهند دهید نمی‌دهد ندهید می‌کرده‌اند
کسانی‌اند	کسانند ورزیدند پایداری بادیه‌نشینان غافلند می‌ورزند آن‌هایی ابطال بگرداند ورزیده‌اند انکار کفر همان‌گونه برخی اینان
ندا	درداد درمی‌دهد فرمودیم عیسی خواند می‌فرماید روشنایی جهد خبر وادی پیراهن جد فرستادیم‌ دعوت‌کننده درآوردیم
لیکن	نمی‌دانند بدکار خویشتن خور حقانیت فاسقان نمی‌فهمند بیشتر بهانه محقق سزاوار روا نرمی مشتبه نمی‌زنند
می‌دهید	ندهید کمک می‌کنید دهم نخواهیم_شد بیناست محرمانه بازخواست نمی‌دانید می‌پنداشتید گفتگوی نکنید ناپسند داده_است ندارید
پسران	دختران برگرفتد خدایان پسرک یعقوب برگزیده امکانات جهان دخترانی چیزهای اسحاق پدران واقعی داشتن برادر
داشت	ارزانی می‌دارد آورند می‌آورد نمی‌دانستید آورده‌اید سکونت نماز فرمانم کن آسمانی فرشتگانی داشته پیشی توانایی
گردید	آتشند آمده_باشد گردانید مجادله خجسته شتر شد برگرفت کارهایی دلش سرشان انگاشتند همانند کشید خفت‌آور
فرستادگان	هشداردهندگان الیاس ایکه ثمود لوط ایوب اسماعیل اصحاب فرستادیم‌ پیامبران نوح شعیب پیامبرانی ماجرای سویشان
خواهد_کرد	نخواهیم_شد حکیم نخواهید_شد گردنه خواهم_کرد فرا نمی‌کند تکذیب مؤاخذه می‌بینیم وامی‌دارد هولناک گرم بیمناکم خواهید_شد
اختلاف	نزاع براییتان توضیح تکذیب رنگ‌های مورد کارزار زند پاکیزه‌ای تردید نشدند هنگام حاصل پیدا جزا
داشتند	می‌دارند می‌داشتند ریاست زیردست دارند کارهای میانه‌رو خواهیم_داد ناپسند آوردند بدیشان نمی‌دارد روزیشان برخی پاکیزه‌ای
